Company Name,Symbol,Industry,Series,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change
Aarti Drugs Ltd.,Aartidrugs,Healthcare,Eq,400.5,401.8,394.1,403.85,400.0,-3.85,-0.95,31782.0,12627306.42,749.75,378.0,-42.92,-5.1
Aditya Birla Capital Ltd.,Abcapital,Financial Services,Eq,89.0,90.6,88.35,89.4,90.25,0.85,0.95,2401323.0,215182554.0,139.2,85.6,-23.75,-11.57
Aditya Birla Fashion And Retail Ltd.,Abfrl,Consumer Services,Eq,235.6,243.5,235.6,237.05,242.2,5.15,2.17,1014277.0,243548193.2,322.0,189.35,9.87,-12.62
Aditya Birla Sun Life Amc Ltd.,Abslamc,Financial Services,Eq,400.05,406.7,400.0,400.05,405.9,5.85,1.46,34489.0,13901826.12,722.9,375.0,-11.06,-5.09
Adani Ports And Special Economic Zone Ltd.,Adaniports,Services,Eq,670.0,680.0,656.0,672.05,678.3,6.25,0.93,3151179.0,2105491761.0,924.65,651.95,-4.5,-9.16
Advanced Enzyme Tech Ltd.,Advenzymes,Fast Moving Consumer Goods,Eq,266.2,268.7,258.4,266.2,264.0,-2.2,-0.83,40076.0,10549606.24,435.95,258.4,-35.78,-7.02
Aegis Logistics Ltd.,Aegischem,Oil Gas & Consumable Fuels,Eq,208.7,212.6,205.15,209.0,211.45,2.45,1.17,247355.0,51731824.7,386.0,167.25,-39.22,-3.95
Affle (India) Ltd.,Affle,Information Technology,Eq,1060.0,1060.3,1004.65,1060.3,1010.0,-50.3,-4.74,241660.0,246983769.8,1511.0,763.02,-11.06,0.78
Ajanta Pharmaceuticals Ltd.,Ajantpharm,Healthcare,Eq,1233.0,1275.05,1229.35,1235.6,1265.9,30.3,2.45,109740.0,137293519.2,2435.0,1186.0,-42.5,-27.87
Allcargo Logistics Ltd.,Allcargo,Services,Eq,259.0,271.5,256.0,262.95,269.0,6.05,2.3,502907.0,133391052.7,412.0,152.5,64.5,-17.76
Alok Industries Ltd.,Alokinds,Textiles,Be,22.3,22.3,21.5,22.0,21.55,-0.45,-2.05,1040692.0,22645457.92,35.8,18.85,-11.06,-6.01
Amara Raja Batteries Ltd.,Amarajabat,Automobile And Auto Components,Eq,459.1,471.7,456.05,458.7,469.5,10.8,2.35,438273.0,202727558.9,781.6,438.05,-38.43,-8.69
Ambuja Cements Ltd.,Ambujacem,Construction Materials,Eq,363.95,368.6,362.1,363.0,367.5,4.5,1.24,2763265.0,1011078664.0,442.5,274.0,6.56,-1.73
